,Desarrollo ágil: Historias de usuario y criterios de aceptación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elaborado por: www.pmoinformatica.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Enunciado de la historia,,,,Criterios de aceptación,,,,,,,,,,,,,,,,,,,,,,,,
,,Rol,Característica / Funcionalidad,Razón / Resultado,Número (#) de escenario,Criterio de aceptación (Título),Contexto,Evento,Resultado / Comportamiento esperado,,,,,,,,,,,,,,,,,,,,,
,HU-GIA-01,Como un usuario del sistema (paciente o médico).,Necesito registrarme en el sistema proporcionando mis datos personales y que se me asigne un rol adecuado.,Con la finalidad de acceder a los servicios de la clínica según mis responsabilidades.,1,Registro exitoso de paciente,"En caso que el usuario ingrese datos personales válidos y únicos (DNI, email, teléfono) y seleccione el rol de paciente.",Cuando el usuario completa el formulario y confirma el registro.,"El sistema crea la cuenta, asigna el rol de Paciente y redirige al panel de inicio.",,,,,,,,,,,,,,,,,,,,,
,,,,,2,Registro exitoso de médico,"En caso que el personal médico ingrese su especialidad, número de colegiatura y datos únicos.",Cuando el médico completa el formulario de registro profesional y confirma.,"El sistema crea la cuenta, asigna el rol de Médico y notifica al administrador para validación.",,,,,,,,,,,,,,,,,,,,,
,,,,,3,Datos duplicados en el registro,"En caso que el DNI, email o teléfono ingresado ya exista en el sistema.",Cuando el usuario intenta enviar el formulario de registro.,El sistema muestra un mensaje de error indicando el campo duplicado y no crea la cuenta.,,,,,,,,,,,,,,,,,,,,,
,,,,,4,Campos obligatorios incompletos,En caso que el usuario deje campos obligatorios vacíos o con formato inválido.,Cuando el usuario intenta enviar el formulario de registro.,El sistema resalta los campos con error y muestra mensajes de validación sin procesar el registro.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HU-GIA-02,"Como un usuario registrado (paciente, médico o administrador).",Necesito iniciar sesión con mis credenciales de forma segura.,Con la finalidad de acceder a las funcionalidades del sistema según mi rol asignado.,,Inicio de sesión exitoso,En caso que el usuario ingrese credenciales válidas (email y contraseña correctos).,Cuando el usuario hace clic en 'Iniciar sesión'.,"El sistema genera un token JWT, inicia la sesión y redirige al usuario al panel correspondiente a su rol.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Credenciales incorrectas,En caso que el usuario ingrese un email o contraseña incorrectos.,Cuando el usuario hace clic en 'Iniciar sesión'.,El sistema muestra el mensaje 'Credenciales incorrectas' y no permite el acceso.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sesión expirada,En caso que el token JWT del usuario haya superado su tiempo de expiración configurable.,Cuando el usuario intenta realizar cualquier operación con sesión activa.,"El sistema invalida la sesión, redirige al login y muestra el mensaje 'Sesión expirada, ingrese nuevamente'.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Acceso denegado por rol,En caso que un usuario autenticado intente acceder a una ruta no permitida para su rol.,Cuando el usuario navega a una URL restringida.,El sistema bloquea el acceso y muestra la pantalla de error 403 indicando permisos insuficientes.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HU-GIA-03,Como administrador del sistema.,Necesito consultar el historial de cambios realizados en los perfiles de usuario.,Con la finalidad de garantizar la seguridad e integridad de la información del sistema.,,Visualización de log de cambios,En caso que el administrador busque el historial de un usuario específico con cambios registrados.,Cuando el administrador selecciona un usuario y consulta su historial.,"El sistema muestra los registros de auditoría indicando fecha, hora, campo modificado y usuario que realizó el cambio.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Sin cambios registrados,En caso que el usuario seleccionado no tenga cambios en su perfil.,Cuando el administrador consulta el historial del usuario.,El sistema muestra el mensaje 'No se han registrado cambios para este usuario'.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Intento de modificación del log,En caso que cualquier usuario intente editar o eliminar un registro de auditoría.,Cuando se realiza una solicitud de escritura sobre los logs de auditoría.,"El sistema rechaza la operación, los logs permanecen de solo lectura y se registra el intento fallido.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Filtro por rango de fechas,En caso que el administrador desee acotar la búsqueda a un período específico.,Cuando el administrador aplica un filtro de fecha inicio y fecha fin.,El sistema muestra únicamente los registros de cambio dentro del rango de fechas indicado.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HU-AGC-01,Como paciente.,Necesito buscar médicos filtrando por especialidad y ver sus horarios disponibles en tiempo real.,Con la finalidad de elegir el médico y la cita más adecuados a mi necesidad de salud.,,Búsqueda con resultados disponibles,En caso que existan médicos activos con disponibilidad para la especialidad seleccionada.,Cuando el paciente aplica el filtro por especialidad.,"El sistema muestra el listado de médicos con su nombre, especialidad y horarios disponibles en tiempo real.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Búsqueda sin resultados,En caso que no haya médicos disponibles para la especialidad o fecha seleccionada.,Cuando el paciente aplica el filtro.,El sistema muestra el mensaje 'No hay disponibilidad para la especialidad seleccionada' y sugiere otras fechas.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Actualización de disponibilidad en tiempo real,En caso que otro paciente reserve un horario mientras el usuario está consultando.,Cuando el paciente visualiza los horarios disponibles.,El sistema actualiza automáticamente la vista y elimina el horario ocupado sin requerir recarga de página.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Filtro sin especialidad seleccionada,En caso que el paciente no seleccione ninguna especialidad.,Cuando el paciente intenta realizar la búsqueda.,El sistema muestra el mensaje 'Por favor seleccione una especialidad para continuar' y no ejecuta la búsqueda.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HU-AGC-02,Como paciente o personal administrativo.,"Necesito reservar una cita médica seleccionando médico, fecha y hora disponible.",Con la finalidad de asegurar la atención médica en el horario requerido.,,Reserva exitosa de cita,En caso que el horario seleccionado esté disponible y los datos del paciente sean válidos.,"Cuando el usuario confirma la selección de médico, fecha y hora.","El sistema bloquea inmediatamente el horario, genera un ID de cita único y envía confirmación al paciente y al médico.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Horario ya ocupado al confirmar,En caso que otro usuario reserve el mismo horario entre la selección y la confirmación.,Cuando el usuario intenta confirmar la reserva.,El sistema informa que el horario ya no está disponible y solicita seleccionar otro horario libre.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Datos del paciente no encontrados,En caso que el administrativo ingrese un identificador de paciente que no existe en el sistema.,Cuando el administrativo intenta procesar la reserva.,El sistema muestra el mensaje 'Paciente no encontrado' y solicita verificar el identificador ingresado.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Reserva fuera del horario de atención,En caso que el usuario intente seleccionar una fecha u hora fuera del horario de atención del médico.,Cuando el usuario intenta confirmar la cita.,El sistema bloquea la selección y muestra el horario de atención válido del médico seleccionado.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HU-AGC-03,Como usuario (paciente o médico autorizado).,Necesito cancelar o reprogramar mis citas médicas dentro de los tiempos permitidos.,Con la finalidad de adaptar la agenda de la clínica ante cambios imprevistos.,,Cancelación exitosa dentro del plazo,En caso que el paciente solicite cancelar una cita cumpliendo el tiempo mínimo requerido.,Cuando el paciente confirma la cancelación.,"El sistema cancela la cita, libera el horario y envía notificación automática al médico y al paciente.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Cancelación fuera del plazo permitido,En caso que el paciente intente cancelar una cita cuando ya no se cumple el tiempo mínimo establecido.,Cuando el paciente intenta confirmar la cancelación.,El sistema rechaza la operación y muestra el mensaje indicando el tiempo mínimo requerido para cancelar.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Reprogramación exitosa,En caso que el paciente seleccione un nuevo horario disponible para reprogramar su cita.,Cuando el paciente confirma el nuevo horario.,"El sistema cancela la cita original, reserva el nuevo horario y notifica al médico y al paciente.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Sin horarios disponibles para reprogramar,En caso que no existan horarios disponibles con el mismo médico para reprogramar.,Cuando el paciente intenta seleccionar un nuevo horario.,El sistema informa la falta de disponibilidad y sugiere buscar otro médico de la misma especialidad.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HU-AGC-04,Como usuario (paciente o médico).,Necesito recibir notificaciones automáticas de confirmación y recordatorios de mis citas.,Con la finalidad de evitar inasistencias y estar informado sobre mi agenda médica.,,Notificación de confirmación inmediata,En caso que el paciente haya reservado una cita exitosamente.,Cuando el sistema registra la reserva.,El sistema envía de inmediato una notificación de confirmación al paciente y al médico con los datos de la cita.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Recordatorio 24 horas antes,En caso que la cita esté programada y se cumpla el plazo de 24 horas previo.,Cuando el sistema detecta que faltan 24 horas para la cita.,"El sistema envía automáticamente un recordatorio al paciente con fecha, hora y nombre del médico.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Notificación de cancelación,En caso que una cita sea cancelada por el paciente o por el médico.,Cuando el sistema registra la cancelación.,El sistema notifica a ambas partes (paciente y médico) que la cita ha sido cancelada.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Notificación de reprogramación,En caso que una cita sea reprogramada a un nuevo horario.,Cuando el sistema registra el cambio de horario.,El sistema envía notificación al paciente y al médico con el nuevo horario acordado.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HU-AGC-05,Como médico.,"Necesito actualizar el estado de las citas (Programada, En Atención, Completada, Cancelada) en tiempo real.",Con la finalidad de rastrear con precisión el flujo de atención de pacientes durante la jornada.,,Cambio de estado exitoso,En caso que el médico seleccione un nuevo estado válido para la cita según el flujo definido.,Cuando el médico confirma el cambio de estado.,"El sistema actualiza el estado en tiempo real, registra el timestamp del cambio y refleja la actualización en el panel.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Transición de estado no permitida,En caso que el médico intente realizar un cambio de estado no permitido por el flujo definido.,Cuando el médico intenta confirmar el cambio.,El sistema rechaza el cambio y muestra los estados válidos disponibles desde el estado actual.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Registro de historial de estados,En caso que una cita haya pasado por múltiples cambios de estado.,Cuando el médico o administrador consulta el historial de la cita.,"El sistema muestra el historial completo de cambios de estado con fecha, hora y usuario responsable.",,,,,,,,,,,,,,,,,,,,,
,,,,,,Visualización de estado en panel,En caso que el médico tenga múltiples citas activas durante la jornada.,Cuando el médico accede al panel de citas del día.,El sistema muestra el estado actual de cada cita con indicadores visuales diferenciados por color.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Actualización sin afectar otros servicios,En caso que el servicio de notificaciones esté temporalmente no disponible.,Cuando el médico actualiza el estado de la cita.,El sistema actualiza el estado de forma independiente y encola las notificaciones para envío posterior sin bloquear la operación.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HU-HCE-01,Como médico.,"Necesito registrar y consultar prescripciones médicas incluyendo nombre del medicamento, dosis y duración del tratamiento.",Con la finalidad de mantener un control riguroso del tratamiento de cada paciente.,,Registro exitoso de prescripción,"En caso que el médico complete todos los campos requeridos (medicamento, dosis, frecuencia, duración) de forma válida.",Cuando el médico confirma la prescripción.,El sistema guarda la prescripción vinculada a la historia clínica del paciente y registra fecha y hora del registro.,,,,,,,,,,,,,,,,,,,,,
,,,,,,Consulta de historial de prescripciones,En caso que el médico requiera revisar prescripciones anteriores del paciente.,Cuando el médico accede al historial de prescripciones del paciente.,"El sistema muestra la lista cronológica de prescripciones previas con médico responsable, dosis y estado del tratamiento.",,,,,,,,,,,,,,,,,,,,,
