ID de la Historia;Enunciado de la Historia;Alias;Estado;Dimensión/Esfuerzo;Iteración (Sprint);Prioridad;Comentarios
HU-GIA-01;Como usuario, quiero registrarme y gestionar mi perfil (datos personales y roles) para acceder a los servicios de la clínica.;Registro de Usuarios;Por Hacer;5;Sprint 1;Alta;• Registro de pacientes y médicos. • Validación de datos únicos. • Asignación de roles (Admin, Médico, Paciente).
HU-GIA-02;Como usuario, quiero iniciar sesión de forma segura para acceder a mis funciones según mi rol.;Inicio de Sesión;Por Hacer;3;Sprint 1;Alta;• Autenticación mediante credenciales. • Gestión de sesión segura.
HU-GIA-03;Como admin, quiero auditar los cambios en los perfiles de usuario para garantizar la seguridad de la información.;Auditoría de Perfiles;Por Hacer;3;Sprint 1;Media;• Registro de historial de cambios (fecha, usuario, campo). • Logs de solo lectura.
HU-AGC-01;Como paciente, quiero buscar médicos por especialidad y ver su disponibilidad para elegir la cita adecuada.;Búsqueda de Médicos;Por Hacer;5;Sprint 1;Alta;• Filtro por especialidad. • Visualización de horarios disponibles en tiempo real.
HU-AGC-02;Como paciente o administrativo, quiero reservar citas médicas para asegurar la atención de salud.;Reserva de Citas;Por Hacer;5;Sprint 1;Alta;• Selección de médico/fecha/hora. • Bloqueo inmediato del horario. • Generación de ID de cita.
HU-AGC-03;Como usuario, quiero gestionar mis citas (cancelar o reprogramar) para adaptar la agenda de la clínica.;Gestión de Citas;Por Hacer;5;Sprint 2;Media;• Validación de tiempo mínimo para cancelar. • Notificación automática al médico/paciente.
HU-AGC-04;Como usuario, quiero recibir notificaciones y recordatorios de mis citas para evitar inasistencias.;Notificaciones;Por Hacer;3;Sprint 2;Baja;• Confirmación inmediata al reservar. • Recordatorio 24h antes de la cita.
HU-AGC-05;Como médico, quiero actualizar el estado de la cita (Atención, Completada, etc.) para rastrear el flujo de pacientes.;Estado de Citas;Por Hacer;3;Sprint 2;Alta;• Cambio de estados en tiempo real. • Registro de timestamp por cada cambio.
HU-HCE-01;Como médico, quiero registrar y consultar prescripciones médicas para mantener un control riguroso del tratamiento.;Prescripciones;Por Hacer;5;Sprint 2;Alta;• Registro de nombre, dosis y duración. • Consulta de historial de prescripciones previas.
HU-HCE-02;Como médico, quiero gestionar la historia clínica completa (evolución y observaciones) para tomar decisiones informadas.;Evolución Clínica;Por Hacer;8;Sprint 2;Alta;• Registro de evolución clínica inmutable. • Visualización de línea de tiempo de consultas.
HU-HCE-03;Como médico, quiero adjuntar documentos y archivos (PDF, imágenes) a la historia clínica para complementar la evidencia diagnóstica.;Archivos Adjuntos;Por Hacer;5;Sprint 2;Media;• Soporte para PDF, JPEG, PNG, DICOM. • Vinculación obligatoria a una consulta.
HU-HCE-04;Como paciente, quiero consultar mi propia historia clínica para tener control sobre mi salud.;Historia Clínica;Por Hacer;3;Sprint 2;Media;• Acceso restringido solo a datos propios. • Registro de auditoría de acceso.
HU-FAP-01;Como administrativo, quiero generar recibos de pago automáticamente al terminar una consulta para agilizar la facturación.;Generación de Recibos;Por Hacer;5;Sprint 3;Media;• Generación de recibo con datos del paciente y monto. • Opción de descarga/impresión.
HU-FAP-02;Como admin, quiero gestionar los estados de pago y procesar reembolsos para mantener la salud financiera de la clínica.;Gestión de Reembolsos;Por Hacer;5;Sprint 3;Media;• Actualización automática de estado (Pagado/Fallido). • Procesamiento de devoluciones.
HU-FAP-03;Como admin, quiero generar reportes de ingresos y rentabilidad por médico o período para evaluar la clínica.;Reportes Financieros;Por Hacer;3;Sprint 4;Baja;• Desglose de ingresos por servicio/médico. • Generación rápida de reportes.
HU-RPM-01;Como admin, quiero generar estadísticas de demanda (especialidades, diagnósticos frecuentes) para optimizar la atención.;Estadísticas de Demanda;Por Hacer;5;Sprint 4;Baja;• Análisis de patologías prevalentes (CIE-10). • Tendencias de consultas por especialidad.
HU-RPM-02;Como usuario, quiero exportar cualquier reporte del sistema en formatos estándar (PDF, Excel, CSV) para fines administrativos.;Exportación de Datos;Por Hacer;3;Sprint 4;Baja;• Exportación fiel al reporte visual. • Descarga rápida de archivos.
